MsgID.STATE,1521024548.8232663,False,False
MsgID.LOCAL_VELOCITY,1521024562.3049090,7.6451888,0.0977749,-0.1014344
MsgID.GLOBAL_POSITION,1521024562.5560446,-122.3974606,37.7930572,4.9770000
MsgID.LOCAL_VELOCITY,1521024562.5560446,5.7900000,0.1200000,-0.1200000
MsgID.LOCAL_POSITION,1521024562.5563588,64.1407852,-0.9503335,-4.9772029
MsgID.LOCAL_VELOCITY,1521024562.5563588,5.7983065,0.1231674,-0.1202105
MsgID.GLOBAL_POSITION,1521024562.8060057,-122.3974605,37.7930688,4.9990000
MsgID.LOCAL_VELOCITY,1521024562.8060057,4.4000000,0.6700000,-0.0700000
MsgID.LOCAL_POSITION,1521024562.8483529,65.4298935,-0.9409713,-4.9996042
MsgID.LOCAL_VELOCITY,1521024562.8483529,4.4010887,0.6728161,-0.0733245
MsgID.STATE,1521024563.0228167,True,True
MsgID.GLOBAL_HOME,1521024563.0231559,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024563.0563111,-122.3974572,37.7930766,4.9960000
MsgID.LOCAL_VELOCITY,1521024563.0563111,3.9200000,1.7200000,0.0000000
MsgID.LOCAL_POSITION,1521024563.1003790,66.2992783,-0.6451600,-4.9962597
MsgID.LOCAL_VELOCITY,1521024563.1003790,3.9218185,1.7275897,0.0029770
MsgID.GLOBAL_POSITION,1521024563.3057849,-122.3974483,37.7930868,4.9890000
MsgID.LOCAL_VELOCITY,1521024563.3057849,3.2900000,2.9500000,-0.0300000
MsgID.LOCAL_POSITION,1521024563.3060360,67.4297867,0.1433843,-4.9891505
MsgID.LOCAL_VELOCITY,1521024563.3060360,3.2960610,2.9531324,-0.0329994
MsgID.GLOBAL_POSITION,1521024563.5562358,-122.3974402,37.7930940,4.9880000
MsgID.LOCAL_VELOCITY,1521024563.5562358,2.7800000,3.9200000,0.0100000
MsgID.LOCAL_POSITION,1521024563.5567420,68.2244873,0.8649250,-4.9883103
MsgID.LOCAL_VELOCITY,1521024563.5567420,2.7835507,3.9286482,0.0174008
MsgID.GLOBAL_POSITION,1521024563.8053200,-122.3974274,37.7930988,4.9890000
MsgID.LOCAL_VELOCITY,1521024563.8053200,2.2400000,5.0400000,-0.0400000
MsgID.LOCAL_POSITION,1521024563.8056390,68.7631760,2.0047772,-4.9892068
MsgID.LOCAL_VELOCITY,1521024563.8056390,2.2491536,5.0462728,-0.0426561
MsgID.STATE,1521024564.0232491,True,True
MsgID.GLOBAL_HOME,1521024564.0236125,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024564.0569527,-122.3974130,37.7931030,4.9970000
MsgID.LOCAL_VELOCITY,1521024564.0569527,1.8400000,5.9300000,-0.0200000
MsgID.LOCAL_POSITION,1521024564.1002657,69.2259445,3.2879329,-4.9972901
MsgID.LOCAL_VELOCITY,1521024564.1002657,1.8439910,5.9349184,-0.0297995
MsgID.GLOBAL_POSITION,1521024564.3055043,-122.3973927,37.7931070,4.9970000
MsgID.LOCAL_VELOCITY,1521024564.3055043,1.4500000,6.8500000,0.0600000
MsgID.LOCAL_POSITION,1521024564.3057351,69.6776733,5.0933247,-4.9978786
